"representativeid","lastname","firstname","statelabel","statecode","district","chamber","party"
364,"McNerney","Jerry","California",6,9,"Representative","Democratic"
365,"Matsui","Doris O","California",6,6,"Representative","Democratic"
366,"Denham","Jeff","California",6,10,"Representative","Republican"
367,"Newhouse","Dan","Washington",53,4,"Representative","Republican"
368,"Bera","Ami","California",6,7,"Representative","Democratic"
369,"McClintock","Tom","California",6,4,"Representative","Republican"
370,"Costa","Jim","California",6,16,"Representative","Democratic"
371,"Valadao","David G","California",6,21,"Representative","Republican"
372,"Amodei","Mark E","Nevada",32,2,"Representative","Republican"
373,"Nunes","Devin","California",6,22,"Representative","Republican"
374,"McCarthy","Kevin","California",6,23,"Representative","Republican"
375,"Cook","Paul","California",6,8,"Representative","Republican"
376,"Kihuen","Ruben","Nevada",32,4,"Representative","Democratic"
377,"McMorris Rodgers","Cathy","Washington",53,5,"Representative","Republican"
378,"Lieu","Ted","California",6,33,"Representative","Democratic"
379,"Knight","Stephen","California",6,25,"Representative","Republican"
380,"Sherman","Brad","California",6,30,"Representative","Democratic"
381,"Cardenas","Tony","California",6,29,"Representative","Democratic"
382,"Bass","Karen","California",6,37,"Representative","Democratic"
383,"Waters","Maxine","California",6,43,"Representative","Democratic"
384,"Schiff","Adam B","California",6,28,"Representative","Democratic"
385,"Hahn","Janice","California",6,44,"Representative","Democratic"
386,"Becerra","Xavier","California",6,34,"Representative","Democratic"
387,"Roybal-Allard","Lucille","California",6,40,"Representative","Democratic"
388,"Chu","Judy","California",6,27,"Representative","Democratic"
389,"Sanchez","Linda T","California",6,38,"Representative","Democratic"
390,"Rohrabacher","Dana","California",6,48,"Representative","Republican"
391,"Napolitano","Grace F","California",6,32,"Representative","Democratic"
392,"Royce","Edward R","California",6,39,"Representative","Republican"
393,"Correa","Lou","California",6,46,"Representative","Democratic"
394,"Walters","Mimi","California",6,45,"Representative","Republican"
395,"Torres","Norma J","California",6,35,"Representative","Democratic"
396,"Issa","Darrell E","California",6,49,"Representative","Republican"
397,"Aguilar","Pete","California",6,31,"Representative","Democratic"
398,"Calvert","Ken","California",6,42,"Representative","Republican"
399,"Takano","Mark","California",6,41,"Representative","Democratic"
400,"Peters","Scott H","California",6,52,"Representative","Democratic"
401,"Hunter","Duncan D","California",6,50,"Representative","Republican"
402,"Labrador","Raul R","Idaho",16,1,"Representative","Republican"
403,"Davis","Susan A","California",6,53,"Representative","Democratic"
404,"Ruiz","Raul","California",6,36,"Representative","Democratic"
405,"Simpson","Michael K","Idaho",16,2,"Representative","Republican"
406,"Tester","Jon","Montana",30,0,"Senator","Democratic"
407,"Daines","Steve","Montana",30,0,"Senator","Republican"
408,"Zinke","Ryan K","Montana",30,0,"Representative","Republican"
409,"Rosen","Jacky","Nevada",32,3,"Representative","Democratic"
410,"Titus","Dina","Nevada",32,1,"Representative","Democratic"
411,"Grijalva","Raul M","Arizona",4,3,"Representative","Democratic"
412,"Gosar","Paul A","Arizona",4,4,"Representative","Republican"
413,"Stewart","Chris","Utah",49,2,"Representative","Republican"
414,"Bishop","Rob","Utah",49,1,"Representative","Republican"
415,"OHalleran","Tom","Arizona",4,1,"Representative","Democratic"
416,"Franks","Trent","Arizona",4,8,"Representative","Republican"
417,"Love","Mia B","Utah",49,4,"Representative","Republican"
418,"Gallego","Ruben","Arizona",4,7,"Representative","Democratic"
419,"Schweikert","David","Arizona",4,6,"Representative","Republican"
420,"Sinema","Kyrsten","Arizona",4,9,"Representative","Democratic"
421,"Chaffetz","Jason","Utah",49,3,"Representative","Republican"
422,"Biggs","Andy","Arizona",4,5,"Representative","Republican"
423,"McSally","Martha","Arizona",4,2,"Representative","Republican"
424,"Cheney","Liz","Wyoming",56,0,"Representative","Republican"
425,"Enzi","Michael B","Wyoming",56,0,"Senator","Republican"
426,"Barrasso","John","Wyoming",56,0,"Senator","Republican"
427,"Tipton","Scott  R","Colorado",8,3,"Representative","Republican"
428,"Pearce","Stevan","New Mexico",35,2,"Representative","Republican"
429,"Lujan","Ben Ray","New Mexico",35,3,"Representative","Democratic"
430,"Lujan Grisham","Michelle","New Mexico",35,1,"Representative","Democratic"
431,"Polis","Jared","Colorado",8,2,"Representative","Democratic"
432,"O&#39;Rourke","Beto","Texas",48,16,"Representative","Democratic"
